Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
McKay Mary A,MGT 18 - Managing Diverse Teams (D),SP22,80,31,74.2%,74.2%,5.02,B+ (3.41),B- (2.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076795
Buchanan Harold G,MGT 181 - Enterprise Finance (A),SP22,102,95,88.4%,87.4%,5.93,B+ (3.35),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076847
Buchanan Harold G,MGT 181 - Enterprise Finance (B),SP22,98,97,87.6%,87.6%,6.29,B (3.24),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076848
Banerjee Snehal,MGT 183 - Financial Investments (A),SP22,81,21,95.2%,90.5%,5.26,B+ (3.67),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076849
Dunn Louis Jean,MGT 185 - Investment Banking (A),SP22,64,16,100.0%,100.0%,7.88,B+ (3.53),B- (2.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076850
Dunn Louis Jean,MGT 187 - New Venture Finance (A),SP22,133,37,85.3%,85.3%,4.15,B+ (3.52),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076851
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),SP22,64,23,77.3%,81.8%,7.23,B- (2.73),C (2.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076781
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),SP22,142,49,95.7%,95.7%,5.97,B+ (3.46),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076796
Perez Silva Andreya Marie,MGT 45 - Principles of Accounting (B),SP22,82,34,91.2%,91.2%,5.91,B (3.29),B (3.09),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076797
Perez Silva Andreya Marie,MGT 45 - Principles of Accounting (C),SP22,83,32,93.5%,96.7%,5.21,B (3.26),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076798
Houskeeper Robert,MGT 5 - Managerial Accounting (A),SP22,167,142,79.6%,78.7%,4.56,B (3.18),C+ (2.37),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076785
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),SP22,92,76,98.7%,96.1%,3.43,A- (3.78),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076799
August Terrence,MGT 71 - Business & Operations Mgt (A),SP22,118,94,88.3%,94.7%,5.84,B+ (3.48),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076800
Yavorsky Daniel Ryan,MGT 100 - Customer Analytics (A),WI22,79,57,98.2%,96.5%,6.25,B+ (3.58),B+ (3.46),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071659
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),WI22,7,6,100.0%,100.0%,6.17,B+ (3.67),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068315
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),WI22,28,18,94.4%,88.9%,3.61,B+ (3.56),B- (2.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068316
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),WI22,63,49,91.7%,87.2%,3.0,B+ (3.43),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068317
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),WI22,82,27,92.6%,85.2%,5.02,B+ (3.33),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068318
Demill Burritt,MGT 103 - Product Marketing & Management (E),WI22,81,77,93.5%,96.1%,4.95,B+ (3.64),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068319
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),WI22,83,68,88.2%,83.8%,3.94,B+ (3.52),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068320
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),WI22,80,71,94.4%,97.2%,4.61,B+ (3.61),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068321
Demill Burritt,MGT 103 - Product Marketing & Management (H),WI22,87,87,93.1%,97.7%,4.68,B+ (3.55),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071672
Gershon Rachel M,MGT 107 - Consumer Behavior (A),WI22,77,28,96.4%,96.4%,3.79,B+ (3.68),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071686
Gershon Rachel M,MGT 107 - Consumer Behavior (B),WI22,83,29,100.0%,100.0%,3.74,A- (3.79),A- (3.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071688
Gershon Rachel M,MGT 107 - Consumer Behavior (C),WI22,69,33,100.0%,100.0%,4.26,A- (3.90),A- (3.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071689
Zimmermann Carsten,MGT 112 - Global Business Strategy (A),WI22,82,65,86.2%,87.7%,5.48,B+ (3.43),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068322
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),WI22,36,16,81.3%,81.3%,7.75,B+ (3.63),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068323
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),WI22,24,13,100.0%,100.0%,4.0,A- (3.92),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068324
Ehrich Kristine R,MGT 112 - Global Business Strategy (D),WI22,81,64,96.8%,92.1%,5.9,B+ (3.65),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068325
Ehrich Kristine R,MGT 112 - Global Business Strategy (E),WI22,12,9,100.0%,100.0%,5.61,A- (3.88),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068326
Felke Magnus Roland,MGT 119 - Topics in Business (A),WI22,23,22,100.0%,100.0%,4.32,B+ (3.56),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071749
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),WI22,97,39,94.7%,94.7%,2.87,B+ (3.48),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068303
Pecore Joseph P.,MGT 12 - Personal Financial Management (B),WI22,102,34,97.1%,94.1%,2.5,B+ (3.56),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068304
Klaas Jeffrey David,MGT 121A - Innovation to Market A (A),WI22,71,64,96.9%,93.8%,5.78,B+ (3.61),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068327
Zhu Kevin Xiaoguo,MGT 127 - Innovation and Tech Strategy (A),WI22,72,55,65.5%,65.5%,4.72,B+ (3.56),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071750
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),WI22,57,45,91.1%,88.9%,5.3,B+ (3.44),B- (2.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068328
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),WI22,61,43,95.2%,88.1%,5.5,A- (3.71),B- (2.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068329
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),WI22,40,32,100.0%,100.0%,5.19,B+ (3.50),B (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068330
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),WI22,61,52,98.1%,100.0%,6.34,A- (3.75),A- (3.77),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068331
Lindenberger Wade Douglas,MGT 137 - Financial Statement Analysis (A),WI22,68,60,100.0%,100.0%,4.5,A- (3.88),A- (3.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068332
Maffett Mark G,MGT 148 - Mergers and Acquisitions (A),WI22,23,14,100.0%,100.0%,4.79,B+ (3.69),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071751
Perols Johan Lars,MGT 153 - Business Analytics (A),WI22,69,17,93.8%,93.8%,5.7,B+ (3.31),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068333
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),WI22,87,26,92.3%,100.0%,5.58,B (3.20),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068334
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),WI22,106,79,92.3%,82.1%,3.83,A- (3.70),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068305
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),WI22,100,85,94.1%,95.3%,3.7,B+ (3.70),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068306
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (C),WI22,116,89,85.2%,83.7%,3.98,B+ (3.66),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068307
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),WI22,97,90,94.4%,90.0%,3.5,B+ (3.58),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068308
Buchanan Harold G,MGT 16 - Personal Ethics at Work (E),WI22,95,92,95.7%,98.9%,3.26,B+ (3.55),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068309
Gneezy Uri,MGT 162R - Negotiations (A),WI22,196,60,98.2%,96.4%,3.93,A- (3.89),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068336
McKay Mary A,MGT 164 - Business and Org Leadership (A),WI22,52,22,81.8%,81.8%,4.95,B+ (3.32),B- (2.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068337
McKay Mary A,MGT 164 - Business and Org Leadership (B),WI22,75,28,89.3%,85.7%,4.0,B+ (3.50),C+ (2.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068338
Zimmermann Carsten,MGT 164 - Business and Org Leadership (C),WI22,85,67,95.5%,96.9%,5.14,A- (3.70),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068339
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (D),WI22,83,76,92.0%,94.7%,4.72,B+ (3.67),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071752
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),WI22,70,62,90.3%,88.7%,6.6,B (3.29),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068340
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),WI22,63,62,82.3%,83.9%,5.47,B+ (3.32),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068341
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),WI22,36,34,85.3%,79.4%,6.32,B (3.12),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068342
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),WI22,82,73,93.2%,93.2%,4.25,B+ (3.68),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068343
Phiroz Zal Navroze,MGT 171 - Operations Management (A),WI22,69,19,84.2%,84.2%,6.61,B (3.06),B (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068344
Hedges Kathleen,MGT 172 - Business Project Management (A),WI22,102,35,88.2%,88.2%,5.03,B+ (3.64),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068345
Royal Rebecca,MGT 172 - Business Project Management (A),WI22,102,35,88.2%,91.2%,5.03,B+ (3.64),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068345A
Hedges Kathleen,MGT 172 - Business Project Management (B),WI22,84,38,97.3%,94.6%,5.31,B+ (3.62),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068346
Moghadas Khorasani Sina,MGT 172 - Business Project Management (C),WI22,61,54,96.3%,98.1%,4.95,B+ (3.67),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071753
Erat Sanjiv,MGT 172 - Business Project Management (D),WI22,77,68,75.0%,75.0%,7.65,B+ (3.54),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=072142
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),WI22,86,80,93.8%,97.5%,5.16,A- (3.78),A- (3.86),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071754
Wiseman Julius C,MGT 173 - Project Mgt- Health Services (B),WI22,51,44,84.1%,77.3%,3.86,B+ (3.36),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071755
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),WI22,76,25,100.0%,100.0%,6.15,B+ (3.61),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068347
McKay Michael J,MGT 18 - Managing Diverse Teams (A),WI22,74,32,83.3%,93.3%,4.56,B+ (3.52),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068310
McKay Michael J,MGT 18 - Managing Diverse Teams (B),WI22,81,41,95.1%,92.7%,3.48,A- (3.78),B (3.07),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068311
McKay Michael J,MGT 18 - Managing Diverse Teams (C),WI22,85,49,76.1%,91.3%,3.57,A- (3.74),B- (2.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068312
McKay Mary A,MGT 18 - Managing Diverse Teams (D),WI22,83,35,72.7%,81.8%,3.62,B+ (3.41),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068313
Buchanan Harold G,MGT 181 - Enterprise Finance (A),WI22,103,95,96.8%,95.8%,5.88,B+ (3.31),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068348
Bliss Barbara Ann,MGT 181 - Enterprise Finance (B),WI22,95,78,96.2%,96.2%,5.58,B+ (3.38),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068349
Parashar Sat P,MGT 184 - Money and Banking (A),WI22,59,46,88.9%,86.7%,4.45,B+ (3.61),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071756
Dunn Louis Jean,MGT 187 - New Venture Finance (A),WI22,75,23,100.0%,94.7%,3.76,A- (3.74),B (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068350
Dunn Louis Jean,MGT 187 - New Venture Finance (B),WI22,60,17,100.0%,88.2%,5.91,B+ (3.59),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068351
Engelberg Joseph Edward,MGT 189 - Topics in Finance (A),WI22,113,47,97.7%,97.7%,6.45,B+ (3.63),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071757
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),WI22,64,17,93.3%,92.9%,5.7,B+ (3.55),C+ (2.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068298
Levkoff Steven B.,MGT 4 - Financial Accounting (B),WI22,11,5,100.0%,80.0%,7.7,B (3.20),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=072822
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),WI22,132,118,88.1%,92.4%,6.55,B (3.23),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068314
Houskeeper Robert,MGT 5 - Managerial Accounting (A),WI22,177,146,93.1%,89.7%,4.97,B+ (3.60),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068302
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S221,78,17,87.5%,100.0%,7.38,B+ (3.42),B- (2.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050140
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S221,72,14,92.9%,78.6%,8.64,B+ (3.43),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050141
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S221,78,58,100.0%,100.0%,5.36,A- (3.96),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050137
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S221,54,15,93.3%,86.7%,8.36,A- (3.86),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050142
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S221,44,42,92.9%,92.9%,7.26,B (3.26),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050143
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S221,43,40,92.5%,95.0%,7.25,B+ (3.69),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050144
McKay Mary A,MGT 164 - Business and Org Leadership (A),S221,73,9,77.8%,77.8%,7.83,B+ (3.33),B- (2.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050145
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S221,32,12,90.9%,90.9%,5.95,B+ (3.55),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050138
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S221,93,19,100.0%,94.4%,7.13,B+ (3.68),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050146
Anderson John Charles,MGT 4 - Financial Accounting (A),S221,49,35,85.7%,94.3%,8.27,B+ (3.32),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050134
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S221,56,41,87.8%,95.1%,7.13,B (3.12),B- (2.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050139
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S220,80,73,90.4%,95.9%,5.92,B+ (3.55),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012414
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S220,72,64,89.1%,85.9%,7.25,B+ (3.58),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012415
Baltes Guido H,MGT 119 - Topics in Business (A),S220,44,34,88.2%,91.2%,5.97,B+ (3.48),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012416
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S220,87,68,100.0%,100.0%,4.15,A- (3.83),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014116
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S220,59,29,89.3%,82.1%,7.07,B+ (3.68),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012417
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S220,80,69,91.3%,88.2%,6.93,B (3.27),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012418
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S220,48,45,97.8%,93.3%,7.97,A- (3.73),A- (3.75),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012419
McKay Mary A,MGT 164 - Business and Org Leadership (A),S220,67,27,80.0%,84.0%,7.78,B (3.29),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=017244
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (A),S220,47,32,96.9%,96.9%,5.88,A- (3.86),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014117
McKay Mary A,MGT 18 - Managing Diverse Teams (B),S220,30,9,87.5%,87.5%,4.75,A (4.00),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=017245
Anderson John Charles,MGT 4 - Financial Accounting (A),S220,46,40,92.5%,95.0%,7.45,B+ (3.46),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014115
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S220,63,48,93.8%,97.9%,7.92,B+ (3.43),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012413
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),FA21,44,35,100.0%,100.0%,2.96,B (3.24),C+ (2.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054729
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),FA21,80,71,93.0%,91.5%,4.42,B (3.28),C+ (2.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054730
Demill Burritt,MGT 103 - Product Marketing & Management (C),FA21,88,86,91.9%,96.5%,4.66,B+ (3.58),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054731
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),FA21,77,29,96.6%,96.6%,4.79,B+ (3.48),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054732
Ehrich Kristine R,MGT 103 - Product Marketing & Management (E),FA21,82,29,96.4%,96.2%,4.57,B+ (3.44),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054733
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),FA21,82,65,92.2%,96.9%,4.53,B+ (3.51),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054734
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),FA21,80,62,90.2%,96.7%,4.11,B+ (3.46),B+ (3.31),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054735
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),FA21,115,108,98.1%,97.2%,4.37,A- (3.79),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054736
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),FA21,76,70,95.7%,95.7%,3.5,B+ (3.53),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054737
Amir On,MGT 108R - Applied Market Research (A),FA21,79,21,94.7%,100.0%,5.24,A- (3.79),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059752
Zimmermann Carsten,MGT 112 - Global Business Strategy (A),FA21,84,73,91.7%,94.4%,5.4,B+ (3.45),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054738
Ehrich Kristine R,MGT 112 - Global Business Strategy (B),FA21,59,25,92.0%,96.0%,5.54,B+ (3.63),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054739
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),FA21,55,49,71.4%,73.5%,5.36,B (3.25),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059753
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (D),FA21,30,25,88.0%,84.0%,5.7,B+ (3.48),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059754
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),FA21,97,75,95.9%,97.3%,2.45,B+ (3.67),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054718
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (B),FA21,108,97,96.9%,100.0%,2.71,A- (3.87),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054719
Wang Helen Shan,MGT 121A - Innovation to Market A (A),FA21,90,79,89.9%,88.6%,4.96,A- (3.72),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054740
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),FA21,72,57,93.0%,87.7%,5.24,B+ (3.56),B- (2.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054741
Blakley Bruce,MGT 132 - Auditing (A),FA21,48,21,90.0%,85.0%,5.26,B+ (3.38),B- (2.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054742
Houskeeper Robert,MGT 134 - Federal Taxation-Individuals (A),FA21,26,22,86.4%,81.8%,5.59,A- (3.81),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054743
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),FA21,65,63,96.8%,100.0%,4.69,B+ (3.52),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054744
Perols Johan Lars,MGT 139 - Accounting Information Systems (A),FA21,15,12,91.7%,100.0%,5.17,B+ (3.38),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059755
Perols Johan Lars,MGT 153 - Business Analytics (A),FA21,43,17,93.8%,100.0%,7.0,B (3.20),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054745
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),FA21,79,21,85.7%,90.5%,5.26,B+ (3.45),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059756
Phiroz Zal Navroze,MGT 153 - Business Analytics (C),FA21,76,30,93.3%,93.3%,4.9,A- (3.80),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059757
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),FA21,116,101,98.0%,100.0%,3.84,A- (3.85),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054720
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),FA21,109,90,94.4%,96.6%,3.36,B+ (3.65),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054721
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (C),FA21,115,100,100.0%,100.0%,3.74,A- (3.91),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059749
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (D),FA21,113,99,98.0%,99.0%,3.68,A- (3.89),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059750
Gneezy Uri,MGT 162R - Negotiations (A),FA21,194,68,100.0%,98.4%,3.91,A- (3.95),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059758
McKay Mary A,MGT 164 - Business and Org Leadership (A),FA21,61,32,86.7%,93.3%,6.1,B (3.07),C+ (2.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054746
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (B),FA21,79,65,96.9%,98.5%,5.52,A- (3.71),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054747
Smith Pamela Karen,MGT 164 - Business and Org Leadership (C),FA21,85,45,95.5%,97.7%,4.91,B+ (3.50),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059759
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),FA21,64,56,87.3%,81.8%,5.04,B (3.25),B- (2.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054748
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),FA21,33,30,90.0%,76.7%,4.77,B (3.23),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054749
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),FA21,30,29,93.1%,89.7%,5.26,B+ (3.38),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054750
Demill Burritt,MGT 166 - Corp Social Responsibility (D),FA21,93,87,97.7%,98.9%,5.1,A- (3.76),B+ (3.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059760
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),FA21,95,72,97.1%,95.7%,3.78,B+ (3.65),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054751
Klaas Jeffrey David,MGT 167 - Social Entrepreneurship (B),FA21,30,24,100.0%,100.0%,3.83,A- (3.86),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059761
