Instructor,Last Name,First Name,Course,Quarter,Year,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,% Recommend Class,Percentage Recommended Professor,% Recommend Instructor,Study Hours per Week,Average Grade Expected,GPA Expected,Average Grade Received,GPA Received,Evalulation URL
Dunn Louis Jean,Dunn,Louis,MGT 181 - Enterprise Finance (A),S122,2022,83,8,0.833,83.3,0.833,83.3,7.7,B+ (3.60),3.6,A- (3.71),3.71,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=091964
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (A),S122,2022,70,16,1,100,1,100,7.97,B (3.29),3.29,B (3.10),3.1,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083795
Houskeeper Robert,Houskeeper,Robert,MGT 5 - Managerial Accounting (A),S122,2022,52,13,0.769,76.9,0.769,76.9,6.04,A- (3.83),3.83,B- (2.90),2.9,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083792
Wilbur Kenneth C,Wilbur,Kenneth,MGT 100 - Customer Analytics (A),SP22,2022,49,38,0.974,97.4,0.974,97.4,6.97,B+ (3.61),3.61,B+ (3.44),3.44,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=082840
Wilbur Kenneth C,Wilbur,Kenneth,MGT 102 - E-Commerce (A),SP22,2022,81,52,0.863,86.3,0.902,90.2,5.99,B+ (3.70),3.7,B (3.17),3.17,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076801
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (A),SP22,2022,87,35,0.935,93.5,0.903,90.3,3.94,B+ (3.48),3.48,B (3.06),3.06,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076802
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (B),SP22,2022,17,12,1,100,1,100,3.33,B+ (3.33),3.33,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076803
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (C),SP22,2022,40,27,0.852,85.2,0.815,81.5,3.54,B+ (3.46),3.46,B- (2.88),2.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076804
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (D),SP22,2022,87,86,0.988,98.8,0.977,97.7,4.64,B+ (3.65),3.65,B+ (3.53),3.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076805
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (E),SP22,2022,80,65,0.908,90.8,0.892,89.2,4.37,B+ (3.34),3.34,B (3.18),3.18,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076806
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (F),SP22,2022,69,52,0.981,98.1,0.981,98.1,4.5,B+ (3.43),3.43,B (3.02),3.02,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076807
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (G),SP22,2022,88,85,0.988,98.8,0.988,98.8,5.14,B+ (3.51),3.51,B+ (3.54),3.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076808
Campbell Robert Harold,Campbell,Robert,MGT 105 - Product Promotion & Brand Mgt (A),SP22,2022,112,85,0.906,90.6,0.906,90.6,3.77,B+ (3.61),3.61,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076809
Eberhard Craig A,Eberhard,Craig,MGT 106 - Sales and Sales Management (A),SP22,2022,81,60,0.883,88.3,0.867,86.7,3.53,B (3.12),3.12,B- (2.96),2.96,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076810
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (A),SP22,2022,32,26,0.885,88.5,0.923,92.3,6.42,B+ (3.54),3.54,B+ (3.55),3.55,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076811
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (B),SP22,2022,17,16,0.688,68.8,0.75,75,3.75,B+ (3.50),3.5,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076812
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (C),SP22,2022,84,50,0.9,90,0.9,90,6.5,B+ (3.44),3.44,B+ (3.34),3.34,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076813
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (D),SP22,2022,77,44,0.977,97.7,0.932,93.2,5.59,B+ (3.51),3.51,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076814
Samek Anya,Samek,Anya,MGT 112 - Global Business Strategy (E),SP22,2022,61,46,0.957,95.7,0.978,97.8,3.93,B+ (3.53),3.53,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076815
Anderson Jon Marcus,Anderson,Jon,MGT 119 - Topics in Business (A),SP22,2022,43,36,1,100,1,100,4.04,A- (3.88),3.88,A- (3.79),3.79,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076816
Davis Kathleen Ann,Davis,Kathleen,MGT 119 - Topics in Business (B),SP22,2022,23,3,1,100,1,100,3.17,A (4.00),4,B+ (3.54),3.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076817
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (A),SP22,2022,94,23,1,100,0.905,90.5,2.21,B+ (3.56),3.56,B+ (3.33),3.33,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076786
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (B),SP22,2022,114,81,0.988,98.8,1,100,3.23,A- (3.97),3.97,A- (3.90),3.9,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076787
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (C),SP22,2022,112,83,1,100,1,100,3.11,A- (3.95),3.95,A- (3.85),3.85,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076788
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (D),SP22,2022,98,31,1,100,0.929,92.9,2.71,B+ (3.61),3.61,B (3.17),3.17,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084651
Klaas Jeffrey David,Klaas,Jeffrey,MGT 121B - Innovation to Market B (A),SP22,2022,64,62,0.968,96.8,0.984,98.4,4.82,B+ (3.50),3.5,B+ (3.50),3.5,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076819
Krishnan Viswanathan,Krishnan,Viswanathan,MGT 128R - Business Innovation & Growth (A),SP22,2022,79,68,0.897,89.7,0.926,92.6,4.62,B+ (3.51),3.51,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076820
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),SP22,2022,52,41,0.902,90.2,0.927,92.7,6.45,B (3.00),3,C+ (2.47),2.47,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076821
Houskeeper Robert,Houskeeper,Robert,MGT 131B - Intermediate Accounting B (A),SP22,2022,33,25,0.92,92,0.917,91.7,5.86,B+ (3.44),3.44,B- (2.71),2.71,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076822
Blakley Bruce,Blakley,Bruce,MGT 132 - Auditing (A),SP22,2022,55,16,0.6,60,0.867,86.7,5.03,B (3.20),3.2,B- (2.70),2.7,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076823
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 136 - Advanced Accounting (A),SP22,2022,32,28,1,100,1,100,4.43,B+ (3.62),3.62,B+ (3.58),3.58,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076825
Anderson John Charles,Anderson,John,MGT 147 - Not-for-profit & Govt Acct (A),SP22,2022,26,23,0.957,95.7,1,100,4.33,B+ (3.50),3.5,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076826
Perols Johan Lars,Perols,Johan,MGT 153 - Business Analytics (A),SP22,2022,70,20,0.895,89.5,0.944,94.4,6.71,B (3.22),3.22,B- (2.93),2.93,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076827
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (B),SP22,2022,79,34,0.774,77.4,0.839,83.9,5.85,B+ (3.52),3.52,B+ (3.41),3.41,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076828
Bliss Barbara Ann,Bliss,Barbara,MGT 158 - Real Estate & the Tech Sector (A),SP22,2022,77,50,0.98,98,0.96,96,4.34,B+ (3.66),3.66,B+ (3.33),3.33,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076829
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (A),SP22,2022,109,87,0.941,94.1,0.94,94,3.64,B+ (3.60),3.6,B- (2.98),2.98,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076789
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (B),SP22,2022,113,93,0.934,93.4,0.956,95.6,3.5,B+ (3.69),3.69,B (3.03),3.03,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076790
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (C),SP22,2022,98,87,0.919,91.9,0.907,90.7,3.37,B+ (3.63),3.63,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076791
Sadoff Sally,Sadoff,Sally,MGT 160 - Experiments in Firms (A),SP22,2022,94,79,0.936,93.6,0.974,97.4,5.21,A- (3.83),3.83,A- (3.91),3.91,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=082841
Demill Burritt,Demill,Burritt,MGT 162 - Negotiations (A),SP22,2022,82,76,0.987,98.7,1,100,3.79,A- (3.83),3.83,A- (3.73),3.73,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076830
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),SP22,2022,50,17,0.824,82.4,0.875,87.5,5.44,B (3.29),3.29,B- (2.94),2.94,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076831
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (B),SP22,2022,78,19,0.842,84.2,0.842,84.2,6.29,B (3.11),3.11,C+ (2.55),2.55,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076832
Meyer Alison Bloomfield,Meyer,Alison,MGT 164 - Business and Org Leadership (C),SP22,2022,83,78,0.859,85.9,0.936,93.6,5.22,A- (3.83),3.83,B+ (3.62),3.62,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076833
Zimmermann Carsten,Zimmermann,Carsten,MGT 164 - Business and Org Leadership (D),SP22,2022,82,65,0.892,89.2,0.877,87.7,4.41,B+ (3.65),3.65,B+ (3.40),3.4,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076834
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (A),SP22,2022,56,48,0.833,83.3,0.792,79.2,5.33,B (3.06),3.06,B (3.11),3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076835
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (B),SP22,2022,67,54,0.778,77.8,0.722,72.2,6.8,B (3.15),3.15,B- (2.78),2.78,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076836
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (C),SP22,2022,40,27,0.815,81.5,0.852,85.2,5.31,B+ (3.40),3.4,B (3.03),3.03,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076837
Phiroz Zal Navroze,Phiroz,Zal,MGT 171 - Operations Management (A),SP22,2022,69,24,0.783,78.3,0.864,86.4,3.8,B- (2.77),2.77,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076839
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (A),SP22,2022,102,86,0.953,95.3,0.988,98.8,4.55,B+ (3.68),3.68,B+ (3.62),3.62,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076840
Royal Rebecca,Royal,Rebecca,MGT 172 - Business Project Management (A),SP22,2022,102,85,0.952,95.2,0.976,97.6,4.55,B+ (3.68),3.68,B+ (3.62),3.62,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076840A
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (B),SP22,2022,86,64,0.937,93.7,0.984,98.4,4.92,B+ (3.59),3.59,B+ (3.49),3.49,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076841
Moghadas Khorasani Sina,Moghadas,Khorasani,MGT 172 - Business Project Management (C),SP22,2022,82,75,0.933,93.3,0.973,97.3,3.84,B+ (3.54),3.54,B (3.28),3.28,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076842
Moghadas Khorasani Sina,Moghadas,Khorasani,MGT 172 - Business Project Management (D),SP22,2022,81,72,0.958,95.8,0.972,97.2,4.16,B+ (3.55),3.55,B (3.05),3.05,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076843
Hayes Sherry Lorine,Hayes,Sherry,MGT 173 - Project Mgt- Health Services (A),SP22,2022,95,87,0.977,97.7,0.954,95.4,4.43,A- (3.91),3.91,A- (3.88),3.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076844
Gopal Christopher S.,Gopal,Christopher,MGT 175 - Supply Chain Management (A),SP22,2022,81,24,0.87,87,0.909,90.9,4.5,B+ (3.36),3.36,B (3.25),3.25,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076845
Gopal Christopher S.,Gopal,Christopher,MGT 176 - Strategic Cost Management (A),SP22,2022,70,13,0.923,92.3,0.923,92.3,3.73,B+ (3.46),3.46,B+ (3.50),3.5,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076846
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (A),SP22,2022,61,15,0.929,92.9,0.929,92.9,2.35,A- (3.90),3.9,C+ (2.60),2.6,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076792
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (B),SP22,2022,83,34,0.933,93.3,1,100,3.73,B+ (3.62),3.62,B (3.01),3.01,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076793
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (C),SP22,2022,84,29,1,100,0.92,92,3.46,B+ (3.52),3.52,B (3.05),3.05,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076794
McKay Mary A,McKay,Mary,MGT 18 - Managing Diverse Teams (D),SP22,2022,80,31,0.742,74.2,0.742,74.2,5.02,B+ (3.41),3.41,B- (2.74),2.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076795
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (A),SP22,2022,102,95,0.884,88.4,0.874,87.4,5.93,B+ (3.35),3.35,B- (2.97),2.97,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076847
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (B),SP22,2022,98,97,0.876,87.6,0.876,87.6,6.29,B (3.24),3.24,B (3.11),3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076848
Banerjee Snehal,Banerjee,Snehal,MGT 183 - Financial Investments (A),SP22,2022,81,21,0.952,95.2,0.905,90.5,5.26,B+ (3.67),3.67,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076849
Dunn Louis Jean,Dunn,Louis,MGT 185 - Investment Banking (A),SP22,2022,64,16,1,100,1,100,7.88,B+ (3.53),3.53,B- (2.83),2.83,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076850
Dunn Louis Jean,Dunn,Louis,MGT 187 - New Venture Finance (A),SP22,2022,133,37,0.853,85.3,0.853,85.3,4.15,B+ (3.52),3.52,B (3.13),3.13,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076851
Wagner Timothy Ryan,Wagner,Timothy,MGT 3 - Quant Methods in Business (A),SP22,2022,64,23,0.773,77.3,0.818,81.8,7.23,B- (2.73),2.73,C (2.15),2.15,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076781
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (A),SP22,2022,142,49,0.957,95.7,0.957,95.7,5.97,B+ (3.46),3.46,B (3.06),3.06,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076796
Perez Silva Andreya Marie,Perez,Silva,MGT 45 - Principles of Accounting (B),SP22,2022,82,34,0.912,91.2,0.912,91.2,5.91,B (3.29),3.29,B (3.09),3.09,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076797
Perez Silva Andreya Marie,Perez,Silva,MGT 45 - Principles of Accounting (C),SP22,2022,83,32,0.935,93.5,0.967,96.7,5.21,B (3.26),3.26,B (3.24),3.24,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076798
Houskeeper Robert,Houskeeper,Robert,MGT 5 - Managerial Accounting (A),SP22,2022,167,142,0.796,79.6,0.787,78.7,4.56,B (3.18),3.18,C+ (2.37),2.37,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076785
Deal Jennifer Jean,Deal,Jennifer,MGT 52 - Test & Measurement at Work (A),SP22,2022,92,76,0.987,98.7,0.961,96.1,3.43,A- (3.78),3.78,A- (3.74),3.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076799
August Terrence,August,Terrence,MGT 71 - Business & Operations Mgt (A),SP22,2022,118,94,0.883,88.3,0.947,94.7,5.84,B+ (3.48),3.48,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076800
Yavorsky Daniel Ryan,Yavorsky,Daniel,MGT 100 - Customer Analytics (A),WI22,2022,79,57,0.982,98.2,0.965,96.5,6.25,B+ (3.58),3.58,B+ (3.46),3.46,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071659
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (A),WI22,2022,7,6,1,100,1,100,6.17,B+ (3.67),3.67,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068315
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (B),WI22,2022,28,18,0.944,94.4,0.889,88.9,3.61,B+ (3.56),3.56,B- (2.87),2.87,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068316
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (C),WI22,2022,63,49,0.917,91.7,0.872,87.2,3,B+ (3.43),3.43,B (3.06),3.06,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068317
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (D),WI22,2022,82,27,0.926,92.6,0.852,85.2,5.02,B+ (3.33),3.33,B (3.12),3.12,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068318
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (E),WI22,2022,81,77,0.935,93.5,0.961,96.1,4.95,B+ (3.64),3.64,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068319
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (F),WI22,2022,83,68,0.882,88.2,0.838,83.8,3.94,B+ (3.52),3.52,B+ (3.61),3.61,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068320
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (G),WI22,2022,80,71,0.944,94.4,0.972,97.2,4.61,B+ (3.61),3.61,A- (3.73),3.73,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068321
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (H),WI22,2022,87,87,0.931,93.1,0.977,97.7,4.68,B+ (3.55),3.55,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071672
Gershon Rachel M,Gershon,Rachel,MGT 107 - Consumer Behavior (A),WI22,2022,77,28,0.964,96.4,0.964,96.4,3.79,B+ (3.68),3.68,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071686
Gershon Rachel M,Gershon,Rachel,MGT 107 - Consumer Behavior (B),WI22,2022,83,29,1,100,1,100,3.74,A- (3.79),3.79,A- (3.80),3.8,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071688
Gershon Rachel M,Gershon,Rachel,MGT 107 - Consumer Behavior (C),WI22,2022,69,33,1,100,1,100,4.26,A- (3.90),3.9,A- (3.80),3.8,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071689
Zimmermann Carsten,Zimmermann,Carsten,MGT 112 - Global Business Strategy (A),WI22,2022,82,65,0.862,86.2,0.877,87.7,5.48,B+ (3.43),3.43,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068322
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (B),WI22,2022,36,16,0.813,81.3,0.813,81.3,7.75,B+ (3.63),3.63,B+ (3.41),3.41,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068323
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (C),WI22,2022,24,13,1,100,1,100,4,A- (3.92),3.92,B+ (3.69),3.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068324
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (D),WI22,2022,81,64,0.968,96.8,0.921,92.1,5.9,B+ (3.65),3.65,B+ (3.58),3.58,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068325
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (E),WI22,2022,12,9,1,100,1,100,5.61,A- (3.88),3.88,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068326
Felke Magnus Roland,Felke,Magnus,MGT 119 - Topics in Business (A),WI22,2022,23,22,1,100,1,100,4.32,B+ (3.56),3.56,B+ (3.59),3.59,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071749
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (A),WI22,2022,97,39,0.947,94.7,0.947,94.7,2.87,B+ (3.48),3.48,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068303
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (B),WI22,2022,102,34,0.971,97.1,0.941,94.1,2.5,B+ (3.56),3.56,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068304
Klaas Jeffrey David,Klaas,Jeffrey,MGT 121A - Innovation to Market A (A),WI22,2022,71,64,0.969,96.9,0.938,93.8,5.78,B+ (3.61),3.61,B+ (3.53),3.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068327
Zhu Kevin Xiaoguo,Zhu,Kevin,MGT 127 - Innovation and Tech Strategy (A),WI22,2022,72,55,0.655,65.5,0.655,65.5,4.72,B+ (3.56),3.56,B+ (3.59),3.59,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071750
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),WI22,2022,57,45,0.911,91.1,0.889,88.9,5.3,B+ (3.44),3.44,B- (2.85),2.85,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068328
Houskeeper Robert,Houskeeper,Robert,MGT 131B - Intermediate Accounting B (A),WI22,2022,61,43,0.952,95.2,0.881,88.1,5.5,A- (3.71),3.71,B- (2.89),2.89,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068329
Anderson John Charles,Anderson,John,MGT 135 - Federal Taxation-Companies (A),WI22,2022,40,32,1,100,1,100,5.19,B+ (3.50),3.5,B (3.30),3.3,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068330
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 136 - Advanced Accounting (A),WI22,2022,61,52,0.981,98.1,1,100,6.34,A- (3.75),3.75,A- (3.77),3.77,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068331
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 137 - Financial Statement Analysis (A),WI22,2022,68,60,1,100,1,100,4.5,A- (3.88),3.88,A- (3.96),3.96,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068332
Maffett Mark G,Maffett,Mark,MGT 148 - Mergers and Acquisitions (A),WI22,2022,23,14,1,100,1,100,4.79,B+ (3.69),3.69,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071751
Perols Johan Lars,Perols,Johan,MGT 153 - Business Analytics (A),WI22,2022,69,17,0.938,93.8,0.938,93.8,5.7,B+ (3.31),3.31,B (3.05),3.05,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068333
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (B),WI22,2022,87,26,0.923,92.3,1,100,5.58,B (3.20),3.2,B+ (3.42),3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068334
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (A),WI22,2022,106,79,0.923,92.3,0.821,82.1,3.83,A- (3.70),3.7,B (3.29),3.29,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068305
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (B),WI22,2022,100,85,0.941,94.1,0.953,95.3,3.7,B+ (3.70),3.7,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068306
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (C),WI22,2022,116,89,0.852,85.2,0.837,83.7,3.98,B+ (3.66),3.66,B (3.22),3.22,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068307
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (D),WI22,2022,97,90,0.944,94.4,0.9,90,3.5,B+ (3.58),3.58,B (3.23),3.23,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068308
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (E),WI22,2022,95,92,0.957,95.7,0.989,98.9,3.26,B+ (3.55),3.55,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068309
Gneezy Uri,Gneezy,Uri,MGT 162R - Negotiations (A),WI22,2022,196,60,0.982,98.2,0.964,96.4,3.93,A- (3.89),3.89,A- (3.76),3.76,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068336
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),WI22,2022,52,22,0.818,81.8,0.818,81.8,4.95,B+ (3.32),3.32,B- (2.84),2.84,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068337
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (B),WI22,2022,75,28,0.893,89.3,0.857,85.7,4,B+ (3.50),3.5,C+ (2.58),2.58,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068338
Zimmermann Carsten,Zimmermann,Carsten,MGT 164 - Business and Org Leadership (C),WI22,2022,85,67,0.955,95.5,0.969,96.9,5.14,A- (3.70),3.7,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=068339
Meyer Alison Bloomfield,Meyer,Alison,MGT 164 - Business and Org Leadership (D),WI22,2022,83,76,0.92,92,0.947,94.7,4.72,B+ (3.67),3.67,B+ (3.42),3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=071752
